scope,question_id,system,runs,exact_accuracy,precision,recall,f1,completeness,hallucination_count,traceability,latency_ms,steps,failures
system,,graph_rag,12,0.25,0.5,0.3088,0.3452,0.3088,0.0,1.0,4844.8333,1.0,0
system,,semantic_agent,12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10784.9167,4.0,0
system,,base_model,12,0.0,0.3333,0.1569,0.197,0.1569,0.0,0.0,1752.9167,1.0,0
question_system,drug_type_distribution,graph_rag,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3667.0,1.0,0
question_system,drug_type_distribution,semantic_agent,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8783.0,4.0,0
question_system,drug_type_distribution,base_model,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.3333,1.0,0
question_system,diabetes_mellitus_count,semantic_agent,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7637.3333,4.0,0
question_system,diabetes_mellitus_count,base_model,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,1.0,0
question_system,diabetes_mellitus_count,graph_rag,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5072.6667,1.0,0
question_system,abarelix_mechanism_target,semantic_agent,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11451.0,4.0,0
question_system,abarelix_mechanism_target,base_model,3,0.0,0.3333,0.3333,0.3333,0.3333,0.0,0.0,1892.0,1.0,0
question_system,abarelix_mechanism_target,graph_rag,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4246.3333,1.0,0
question_system,egfr_target_drugs,semantic_agent,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15268.3333,4.0,0
question_system,egfr_target_drugs,graph_rag,3,0.0,1.0,0.2353,0.381,0.2353,0.0,1.0,6393.3333,1.0,0
question_system,egfr_target_drugs,base_model,3,0.0,1.0,0.2941,0.4545,0.2941,0.0,0.0,1455.3333,1.0,0
