run_id,system,question_id,repetition,model,temperature,started_at,finished_at,latency_ms,steps,answer,sparql_present,results_present,exact_accuracy,precision,recall,f1,completeness,hallucination_count,traceability,status,http_status,raw_file,error,notes
1,graph_rag,drug_type_distribution,1,gpt-4.1-mini,0,2026-08-20T15:25:38+00:00,2026-08-20T15:25:41+00:00,3442,1,No hay información suficiente en la base cargada para responder con veracidad.,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,incorrect,200,raw/001_graph_rag_drug_type_distribution_r1.json,,"Evidence is retrieved context, not a formal SPARQL answer."
2,semantic_agent,drug_type_distribution,1,gpt-4.1-mini,0,2026-08-20T15:25:41+00:00,2026-08-20T15:25:50+00:00,8050,4,"Hay 1786 fármacos aprobados distribuidos en 10 tipos. Los tipos con más fármacos son Small molecule (1440), Protein (162) y Antibody (106). Otros tipos incluyen Unknown, Oligonucleotide, Antibody drug conjugate, Gene, Enzyme, Oligosaccharide y Cell con cantidades menores.",1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/002_semantic_agent_drug_type_distribution_r1.json,,
3,base_model,drug_type_distribution,1,gpt-4.1-mini,0,2026-08-20T15:25:50+00:00,2026-08-20T15:25:51+00:00,1197,1,"No se ha proporcionado información específica sobre los tipos de fármacos ni la cantidad de fármacos por tipo. Por favor, proporcione más detalles o datos para poder responder con precisión.",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,incorrect,200,raw/003_base_model_drug_type_distribution_r1.json,,No external context by design.
4,semantic_agent,diabetes_mellitus_count,1,gpt-4.1-mini,0,2026-08-20T15:25:51+00:00,2026-08-20T15:25:59+00:00,7906,4,Hay 63 fármacos indicados para diabetes mellitus según el dataset consultado.,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/004_semantic_agent_diabetes_mellitus_count_r1.json,,
5,base_model,diabetes_mellitus_count,1,gpt-4.1-mini,0,2026-08-20T15:25:59+00:00,2026-08-20T15:26:01+00:00,2770,1,"Existen múltiples fármacos indicados para el tratamiento de la diabetes mellitus, incluyendo varias clases principales: insulinas, biguanidas (como la metformina), sulfonilureas, inhibidores de la DPP-4, agonistas del receptor GLP-1, inhibidores del SGLT2, tiazolidinedionas, inhibidores de la alfa-glucosidasa, y meglitinidas. En total, hay más de 10 fármacos diferentes aprobados para el manejo de la diabetes mellitus.",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,incorrect,200,raw/005_base_model_diabetes_mellitus_count_r1.json,,No external context by design.
6,graph_rag,diabetes_mellitus_count,1,gpt-4.1-mini,0,2026-08-20T15:26:01+00:00,2026-08-20T15:26:08+00:00,6792,1,"En la base de datos cargada hay al menos cinco fármacos indicados para diabetes mellitus:

1. GLYBURIDE (indicado para diabetes mellitus, diabetes tipo 2)
2. METFORMIN HYDROCHLORIDE (indicado para diabetes mellitus, diabetes tipo 2)
3. METFORMIN (indicado para diabetes mellitus)
4. INSULIN HUMAN (indicado para diabetes mellitus, diabetes tipo 2)
5. INSULIN GLARGINE (indicado para diabetes mellitus, diabetes tipo 1 y tipo 2)

Por lo tanto, hay al menos cinco fármacos indicados para diabetes mellitus en la base de datos.",0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,incorrect,200,raw/006_graph_rag_diabetes_mellitus_count_r1.json,,"Evidence is retrieved context, not a formal SPARQL answer."
7,semantic_agent,abarelix_mechanism_target,1,gpt-4.1-mini,0,2026-08-20T15:26:08+00:00,2026-08-20T15:26:21+00:00,12453,4,El fármaco ABARELIX tiene como mecanismo de acción un antagonista del receptor de la hormona liberadora de gonadotropina (Gonadotropin-releasing hormone receptor antagonist) y su diana biológica aprobada es el receptor GNRHR.,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/007_semantic_agent_abarelix_mechanism_target_r1.json,,
8,base_model,abarelix_mechanism_target,1,gpt-4.1-mini,0,2026-08-20T15:26:21+00:00,2026-08-20T15:26:23+00:00,2195,1,"Abarelix es un antagonista de la hormona liberadora de gonadotropinas (GnRH). Su mecanismo de acción consiste en bloquear los receptores de GnRH en la hipófisis, lo que inhibe la liberación de las gonadotropinas LH y FSH, reduciendo así la producción de testosterona. La diana principal de Abarelix son los receptores de GnRH en la hipófisis.",0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,partial,200,raw/008_base_model_abarelix_mechanism_target_r1.json,,No external context by design.
9,graph_rag,abarelix_mechanism_target,1,gpt-4.1-mini,0,2026-08-20T15:26:23+00:00,2026-08-20T15:26:27+00:00,4471,1,"El fármaco ABARELIX tiene como mecanismo de acción ser un antagonista del receptor de la hormona liberadora de gonadotropina (Gonadotropin-releasing hormone receptor antagonist). Su diana es el receptor de la hormona liberadora de gonadotropina (GNRHR), que es un receptor de membrana.",0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/009_graph_rag_abarelix_mechanism_target_r1.json,,"Evidence is retrieved context, not a formal SPARQL answer."
10,semantic_agent,egfr_target_drugs,1,gpt-4.1-mini,0,2026-08-20T15:26:27+00:00,2026-08-20T15:26:40+00:00,12888,4,"Hay 17 fármacos que tienen como target aprobado EGFR. Algunos de ellos son AFATINIB DIMALEATE, AMIVANTAMAB, BRIGATINIB, CETUXIMAB, DACOMITINIB, ERLOTINIB HYDROCHLORIDE, GEFITINIB, LAPATINIB DITOSYLATE, MOBOCERTINIB, NECITUMUMAB, NERATINIB MALEATE, OLMUTINIB, OSIMERTINIB, PANITUMUMAB y VANDETANIB.",1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,correct,200,raw/010_semantic_agent_egfr_target_drugs_r1.json,,
11,graph_rag,egfr_target_drugs,1,gpt-4.1-mini,0,2026-08-20T15:26:40+00:00,2026-08-20T15:26:46+00:00,6139,1,"Los fármacos que tienen como target aprobado EGFR (Epidermal growth factor receptor) son:

1. CETUXIMAB (nombre comercial: Erbitux) - Anticuerpo que actúa como inhibidor del receptor del factor de crecimiento epidérmico erbB1. Indicaciones incluyen adenocarcinoma colorrectal, neoplasias malignas de cabeza y cuello, carcinoma de células escamosas, entre otras.

2. ERLOTINIB HYDROCHLORIDE (nombres comerciales: Erlotinib hydrochloride, Tarceva) - Molécula pequeña que inhibe el receptor del factor de crecimiento epidérmico erbB1. Indicada para carcinoma de pulmón no microcítico.

3. GEFITINIB (nombres comerciales: Iressa, Gefitinib mylan) - Molécula pequeña inhibidora del receptor del factor de crecimiento epidérmico erbB1. Indicada para neoplasias y carcinoma de pulmón no microcítico.

4. AFATINIB DIMALEATE (nombres comerciales: Giotrif, Gilotrif) - Molécula pequeña que inhibe el receptor del factor de crecimiento epidérmico erbB1, así como los receptores erbB-2 y erbB-4. Indicada para carcinoma de pulmón no microcítico.

Estos fármacos comparten el mecanismo de acción de inhibir el receptor EGFR.",0,1,0.0,1.0,0.23529411764705882,0.38095238095238093,0.23529411764705882,0.0,1.0,partial,200,raw/011_graph_rag_egfr_target_drugs_r1.json,,"Evidence is retrieved context, not a formal SPARQL answer."
